condition,drug_name,review_count,average_rating,total_useful_count,positive_reviews,mixed_reviews,negative_reviews,positive_rate,quality_flags
depression,xanax xr,1,10.00,61,1,0,0,1.000,patient_reported_not_prescribing_guidance
depression,luvox,1,9.00,60,1,0,0,1.000,patient_reported_not_prescribing_guidance
depression,maprotiline,1,9.00,10,1,0,0,1.000,patient_reported_not_prescribing_guidance
depression,protriptyline,1,9.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
depression,prozac weekly,1,9.00,12,1,0,0,1.000,patient_reported_not_prescribing_guidance
depression,sinequan,1,9.00,42,1,0,0,1.000,patient_reported_not_prescribing_guidance
depression,trimipramine,1,9.00,2,1,0,0,1.000,patient_reported_not_prescribing_guidance
depression,vivactil,1,9.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
depression,ritalin,1,7.00,114,0,1,0,0.000,patient_reported_not_prescribing_guidance
depression,luvox cr,1,4.00,17,0,0,1,0.000,patient_reported_not_prescribing_guidance
depression,vyvanse,1,3.00,2,0,0,1,0.000,patient_reported_not_prescribing_guidance
depression,tryptophan,1,1.00,5,0,0,1,0.000,patient_reported_not_prescribing_guidance
dercum's disease,fentanyl,3,9.33,59,3,0,0,1.000,patient_reported_not_prescribing_guidance
dercum's disease,pregabalin,1,9.00,2,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,triamcinolone,13,8.62,265,10,2,1,0.769,patient_reported_not_prescribing_guidance
dermatitis,clobetasol,12,9.75,190,12,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,fluocinonide,10,9.10,216,9,0,1,0.900,patient_reported_not_prescribing_guidance
dermatitis,desonide,6,7.83,120,5,0,1,0.833,patient_reported_not_prescribing_guidance
dermatitis,prednisolone,4,9.00,56,3,1,0,0.750,patient_reported_not_prescribing_guidance
dermatitis,mometasone,3,9.67,49,3,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,betamethasone,3,9.33,40,3,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,coal tar,3,8.33,8,3,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,fluocinolone,3,7.67,30,2,1,0,0.667,patient_reported_not_prescribing_guidance
dermatitis,hydrocortisone,3,6.33,17,2,0,1,0.667,patient_reported_not_prescribing_guidance
dermatitis,clobex,2,10.00,41,2,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,elocon,2,9.50,44,2,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,lidex,2,9.50,131,2,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,olux,2,9.00,27,2,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,ala-quin,1,10.00,3,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,amcinonide,1,10.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,clioquinol hydrocortisone,1,10.00,3,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,clocortolone,1,10.00,19,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,cloderm,1,10.00,19,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,kenalog,1,10.00,34,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,kenalog-40,1,10.00,15,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,locoid lipocream,1,10.00,10,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,orapred,1,10.00,28,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,temovate,1,10.00,8,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,verdeso,1,10.00,15,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,cutar,1,9.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,halobetasol,1,9.00,7,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,hydrocortisone pramoxine,1,9.00,5,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,pramosone,1,9.00,5,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,radiaplexrx,1,9.00,2,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,sodium hyaluronate,1,9.00,2,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,ultravate,1,9.00,7,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,cordran tape,1,8.00,10,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,flurandrenolide,1,8.00,10,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,psoriasin,1,8.00,3,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatitis,synalar ointment,1,7.00,2,0,1,0,0.000,patient_reported_not_prescribing_guidance
dermatitis,doxepin,1,1.00,0,0,0,1,0.000,patient_reported_not_prescribing_guidance
dermatologic lesion,zinc oxide,3,9.33,25,3,0,0,1.000,patient_reported_not_prescribing_guidance
dermatologic lesion,methylprednisolone,3,7.00,5,1,2,0,0.333,patient_reported_not_prescribing_guidance
dermatologic lesion,balsam peru castor oil trypsin,2,10.00,6,2,0,0,1.000,patient_reported_not_prescribing_guidance
dermatologic lesion,granulex,1,10.00,1,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatologic lesion,sodium hyaluronate,1,10.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatologic lesion,xenaderm,1,10.00,5,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatological disorders,urea,6,9.67,172,6,0,0,1.000,patient_reported_not_prescribing_guidance
dermatological disorders,betamethasone,6,9.17,139,6,0,0,1.000,patient_reported_not_prescribing_guidance
dermatological disorders,hydroquinone,4,3.50,182,1,0,3,0.250,patient_reported_not_prescribing_guidance
dermatological disorders,benzoic acid salicylic acid,3,10.00,32,3,0,0,1.000,patient_reported_not_prescribing_guidance
dermatological disorders,silver,3,9.33,13,3,0,0,1.000,patient_reported_not_prescribing_guidance
dermatological disorders,bensal hp,2,10.00,32,2,0,0,1.000,patient_reported_not_prescribing_guidance
dermatological disorders,clobetasol,1,10.00,3,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatological disorders,diprosone,1,10.00,40,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatological disorders,olux,1,10.00,3,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatological disorders,rea lo 40,1,10.00,1,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatological disorders,x-viate,1,10.00,13,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatological disorders,carmol 20,1,9.00,45,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatological disorders,kenalog-10,1,9.00,9,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatological disorders,triamcinolone,1,9.00,9,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatological disorders,celestone,1,8.00,14,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatological disorders,hydrocortisone pramoxine,1,8.00,3,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatological disorders,pramosone,1,8.00,3,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatological disorders,melpaque hp,1,1.00,5,0,0,1,0.000,patient_reported_not_prescribing_guidance
dermatomyositis,hydroxychloroquine,3,9.00,53,3,0,0,1.000,patient_reported_not_prescribing_guidance
dermatomyositis,plaquenil,2,9.00,51,2,0,0,1.000,patient_reported_not_prescribing_guidance
dermatomyositis,mycophenolate mofetil,1,10.00,13,1,0,0,1.000,patient_reported_not_prescribing_guidance
dermatophytosis,itraconazole,2,8.50,13,1,1,0,0.500,patient_reported_not_prescribing_guidance
diabetes insipidus,desmopressin,8,9.38,56,7,1,0,0.875,patient_reported_not_prescribing_guidance
diabetes insipidus,ddavp,3,10.00,34,3,0,0,1.000,patient_reported_not_prescribing_guidance
diabetes insipidus,ddavp rhinal tube,1,10.00,1,1,0,0,1.000,patient_reported_not_prescribing_guidance
diabetes insipidus,ddavp nasal,1,9.00,13,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",insulin degludec,22,5.05,303,6,6,10,0.273,patient_reported_not_prescribing_guidance
"diabetes, type 1",tresiba,21,5.05,303,6,5,10,0.286,patient_reported_not_prescribing_guidance
"diabetes, type 1","insulin inhalation, rapid acting",19,8.37,844,15,2,2,0.789,patient_reported_not_prescribing_guidance
"diabetes, type 1",afrezza,18,8.28,837,14,2,2,0.778,patient_reported_not_prescribing_guidance
"diabetes, type 1",insulin glargine,12,4.67,130,4,1,7,0.333,patient_reported_not_prescribing_guidance
"diabetes, type 1",lantus,4,9.00,98,4,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",liraglutide,3,9.67,49,3,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",victoza,3,9.67,49,3,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",toujeo,3,2.00,19,0,0,3,0.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",pramlintide,2,10.00,7,2,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",insulin aspart,2,9.00,27,2,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",novolog,2,9.00,27,2,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",exubera,1,10.00,7,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",humalog,1,10.00,11,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",humulin n,1,10.00,6,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",humulin r u-500 (concentrated),1,10.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",insulin detemir,1,10.00,5,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",insulin isophane,1,10.00,6,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",insulin lispro,1,10.00,11,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",insulin regular,1,10.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",levemir,1,10.00,5,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",symlin,1,10.00,4,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",symlinpen 60,1,10.00,3,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",basaglar,1,4.00,7,0,0,1,0.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",lantus solostar,1,1.00,3,0,0,1,0.000,patient_reported_not_prescribing_guidance
"diabetes, type 1",toujeo solostar,1,1.00,0,0,0,1,0.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",liraglutide,341,8.00,10319,253,45,43,0.742,patient_reported_not_prescribing_guidance
"diabetes, type 2",victoza,335,8.00,10298,249,43,43,0.743,patient_reported_not_prescribing_guidance
"diabetes, type 2",dulaglutide,273,5.99,5186,128,51,94,0.469,patient_reported_not_prescribing_guidance
"diabetes, type 2",trulicity,263,5.96,5184,124,48,91,0.471,patient_reported_not_prescribing_guidance
"diabetes, type 2",exenatide,223,7.24,5899,136,42,45,0.610,patient_reported_not_prescribing_guidance
"diabetes, type 2",canagliflozin,173,6.11,6431,87,24,62,0.503,patient_reported_not_prescribing_guidance
"diabetes, type 2",invokana,168,6.12,6425,85,24,59,0.506,patient_reported_not_prescribing_guidance
"diabetes, type 2",bydureon,160,6.95,3990,90,35,35,0.562,patient_reported_not_prescribing_guidance
"diabetes, type 2",metformin,85,6.12,3828,35,24,26,0.412,patient_reported_not_prescribing_guidance
"diabetes, type 2",byetta,59,7.98,1905,43,7,9,0.729,patient_reported_not_prescribing_guidance
"diabetes, type 2",sitagliptin,54,6.11,2729,23,15,16,0.426,patient_reported_not_prescribing_guidance
"diabetes, type 2",empagliflozin,50,6.82,1544,30,9,11,0.600,patient_reported_not_prescribing_guidance
"diabetes, type 2",januvia,49,6.08,2716,21,13,15,0.429,patient_reported_not_prescribing_guidance
"diabetes, type 2",dapagliflozin,49,5.04,802,17,9,23,0.347,patient_reported_not_prescribing_guidance
"diabetes, type 2",jardiance,47,6.83,1540,29,7,11,0.617,patient_reported_not_prescribing_guidance
"diabetes, type 2",insulin glargine,43,6.60,699,21,10,12,0.488,patient_reported_not_prescribing_guidance
"diabetes, type 2",farxiga,40,5.15,771,14,8,18,0.350,patient_reported_not_prescribing_guidance
"diabetes, type 2",janumet,29,6.10,1164,12,6,11,0.414,patient_reported_not_prescribing_guidance
"diabetes, type 2",glimepiride,28,7.96,1440,21,3,4,0.750,patient_reported_not_prescribing_guidance
"diabetes, type 2",glipizide,26,6.85,1568,14,6,6,0.538,patient_reported_not_prescribing_guidance
"diabetes, type 2",pioglitazone,20,5.50,784,7,4,9,0.350,patient_reported_not_prescribing_guidance
"diabetes, type 2",actos,19,5.26,780,6,4,9,0.316,patient_reported_not_prescribing_guidance
"diabetes, type 2",linagliptin,18,4.39,427,5,2,11,0.278,patient_reported_not_prescribing_guidance
"diabetes, type 2",tradjenta,17,4.06,419,4,2,11,0.235,patient_reported_not_prescribing_guidance
"diabetes, type 2","insulin inhalation, rapid acting",14,8.07,170,11,0,3,0.786,patient_reported_not_prescribing_guidance
"diabetes, type 2",lantus,14,6.86,368,8,2,4,0.571,patient_reported_not_prescribing_guidance
"diabetes, type 2",saxagliptin,13,6.85,417,7,3,3,0.538,patient_reported_not_prescribing_guidance
"diabetes, type 2",glucophage,12,7.75,877,9,2,1,0.750,patient_reported_not_prescribing_guidance
"diabetes, type 2",lantus solostar,12,7.50,207,7,3,2,0.583,patient_reported_not_prescribing_guidance
"diabetes, type 2",onglyza,12,6.83,416,7,2,3,0.583,patient_reported_not_prescribing_guidance
"diabetes, type 2",afrezza,11,7.55,157,8,0,3,0.727,patient_reported_not_prescribing_guidance
"diabetes, type 2",insulin detemir,11,6.82,186,7,1,3,0.636,patient_reported_not_prescribing_guidance
"diabetes, type 2",amaryl,10,7.80,853,7,2,1,0.700,patient_reported_not_prescribing_guidance
"diabetes, type 2",insulin degludec,10,6.50,167,5,2,3,0.500,patient_reported_not_prescribing_guidance
"diabetes, type 2",levemir,10,6.50,185,6,1,3,0.600,patient_reported_not_prescribing_guidance
"diabetes, type 2",tresiba,10,6.50,167,5,2,3,0.500,patient_reported_not_prescribing_guidance
"diabetes, type 2",albiglutide,9,4.33,48,2,2,5,0.222,patient_reported_not_prescribing_guidance
"diabetes, type 2",tanzeum,9,4.33,48,2,2,5,0.222,patient_reported_not_prescribing_guidance
"diabetes, type 2",kombiglyze xr,8,5.62,44,2,3,3,0.250,patient_reported_not_prescribing_guidance
"diabetes, type 2",toujeo,8,4.75,63,1,3,4,0.125,patient_reported_not_prescribing_guidance
"diabetes, type 2",empagliflozin linagliptin,7,7.14,57,5,0,2,0.714,patient_reported_not_prescribing_guidance
"diabetes, type 2",glyxambi,7,7.14,57,5,0,2,0.714,patient_reported_not_prescribing_guidance
"diabetes, type 2",chromium picolinate,5,8.80,456,3,2,0,0.600,patient_reported_not_prescribing_guidance
"diabetes, type 2",insulin aspart,5,7.00,47,2,2,1,0.400,patient_reported_not_prescribing_guidance
"diabetes, type 2",jentadueto,5,6.60,22,3,0,2,0.600,patient_reported_not_prescribing_guidance
"diabetes, type 2",avandia,5,3.60,76,1,0,4,0.200,patient_reported_not_prescribing_guidance
"diabetes, type 2",rosiglitazone,5,3.60,76,1,0,4,0.200,patient_reported_not_prescribing_guidance
"diabetes, type 2",glucotrol,4,9.50,481,4,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",xigduo xr,4,9.25,91,4,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",repaglinide,4,8.75,120,3,1,0,0.750,patient_reported_not_prescribing_guidance
"diabetes, type 2",toujeo solostar,4,7.25,35,2,2,0,0.500,patient_reported_not_prescribing_guidance
"diabetes, type 2",glyburide,4,7.00,151,3,0,1,0.750,patient_reported_not_prescribing_guidance
"diabetes, type 2",novolog,4,6.25,43,1,2,1,0.250,patient_reported_not_prescribing_guidance
"diabetes, type 2",metformin sitagliptin,4,5.50,8,2,0,2,0.500,patient_reported_not_prescribing_guidance
"diabetes, type 2",insulin lispro,4,4.75,25,1,1,2,0.250,patient_reported_not_prescribing_guidance
"diabetes, type 2",exubera,3,10.00,13,3,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",synjardy,3,10.00,31,3,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",prandin,3,8.67,115,2,1,0,0.667,patient_reported_not_prescribing_guidance
"diabetes, type 2",actoplus met,3,6.67,46,2,0,1,0.667,patient_reported_not_prescribing_guidance
"diabetes, type 2",glipizide xl,3,6.33,239,1,1,1,0.333,patient_reported_not_prescribing_guidance
"diabetes, type 2",basaglar,3,4.33,20,1,0,2,0.333,patient_reported_not_prescribing_guidance
"diabetes, type 2",humalog kwikpen,3,3.00,7,0,1,2,0.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",glucophage xr,2,9.00,265,2,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",avandamet,2,6.00,14,1,0,1,0.500,patient_reported_not_prescribing_guidance
"diabetes, type 2",alogliptin,2,4.00,18,0,1,1,0.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",glyburide metformin,2,4.00,4,0,1,1,0.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",nesina,2,4.00,18,0,1,1,0.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",glipizide metformin,2,3.50,0,0,1,1,0.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",glimepiride rosiglitazone,1,10.00,1,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",glumetza,1,10.00,24,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",humalog,1,10.00,18,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",insulin aspart insulin aspart protamine,1,10.00,12,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",insulin isophane insulin regular,1,10.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",novolin 70 30,1,10.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",novolog flexpen,1,10.00,4,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",novolog mix 70 30,1,10.00,12,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",colesevelam,1,8.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",humulin n,1,8.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",insulin isophane,1,8.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",insulin lispro insulin lispro protamine,1,5.00,0,0,1,0,0.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",acarbose,1,1.00,4,0,0,1,0.000,patient_reported_not_prescribing_guidance
"diabetes, type 2",kazano,1,1.00,2,0,0,1,0.000,patient_reported_not_prescribing_guidance
diabetic kidney disease,lisinopril,6,4.83,95,2,1,3,0.333,patient_reported_not_prescribing_guidance
diabetic kidney disease,ramipril,3,7.00,112,2,0,1,0.667,patient_reported_not_prescribing_guidance
diabetic kidney disease,altace,1,10.00,75,1,0,0,1.000,patient_reported_not_prescribing_guidance
diabetic kidney disease,avapro,1,9.00,39,1,0,0,1.000,patient_reported_not_prescribing_guidance
diabetic kidney disease,irbesartan,1,9.00,39,1,0,0,1.000,patient_reported_not_prescribing_guidance
diabetic macular edema,aflibercept,3,9.67,34,3,0,0,1.000,patient_reported_not_prescribing_guidance
diabetic macular edema,eylea,3,9.67,34,3,0,0,1.000,patient_reported_not_prescribing_guidance
diabetic macular edema,fluocinolone,1,10.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
diabetic macular edema,iluvien,1,10.00,0,1,0,0,1.000,patient_reported_not_prescribing_guidance
diabetic peripheral neuropathy,pregabalin,39,6.79,1950,22,7,10,0.564,patient_reported_not_prescribing_guidance
diabetic peripheral neuropathy,lyrica,37,6.89,1944,22,6,9,0.595,patient_reported_not_prescribing_guidance
diabetic peripheral neuropathy,gabapentin,30,6.67,713,19,3,8,0.633,patient_reported_not_prescribing_guidance
diabetic peripheral neuropathy,duloxetine,23,7.04,807,16,1,6,0.696,patient_reported_not_prescribing_guidance
diabetic peripheral neuropathy,cymbalta,21,7.29,803,15,1,5,0.714,patient_reported_not_prescribing_guidance
diabetic peripheral neuropathy,topiramate,8,7.25,323,4,3,1,0.500,patient_reported_not_prescribing_guidance
diabetic peripheral neuropathy,nucynta er,7,8.14,164,6,0,1,0.857,patient_reported_not_prescribing_guidance
diabetic peripheral neuropathy,tapentadol,7,8.14,164,6,0,1,0.857,patient_reported_not_prescribing_guidance
diabetic peripheral neuropathy,topamax,4,9.00,273,4,0,0,1.000,patient_reported_not_prescribing_guidance
diabetic peripheral neuropathy,capsaicin,3,1.00,47,0,0,3,0.000,patient_reported_not_prescribing_guidance
diabetic peripheral neuropathy,nortriptyline,2,4.50,42,1,0,1,0.500,patient_reported_not_prescribing_guidance
diabetic peripheral neuropathy,mexiletine,1,8.00,9,1,0,0,1.000,patient_reported_not_prescribing_guidance
diabetic peripheral neuropathy,capzasin-hp,1,1.00,3,0,0,1,0.000,patient_reported_not_prescribing_guidance
diabetic peripheral neuropathy,zostrix,1,1.00,35,0,0,1,0.000,patient_reported_not_prescribing_guidance
diabetic peripheral neuropathy,zostrix diabetic foot pain,1,1.00,9,0,0,1,0.000,patient_reported_not_prescribing_guidance
diagnosis and investigation,lexiscan,6,6.00,131,4,0,2,0.667,patient_reported_not_prescribing_guidance
diagnosis and investigation,regadenoson,6,6.00,131,4,0,2,0.667,patient_reported_not_prescribing_guidance
diagnosis and investigation,arginine,1,10.00,81,1,0,0,1.000,patient_reported_not_prescribing_guidance
diagnosis and investigation,lymphoseek,1,10.00,85,1,0,0,1.000,patient_reported_not_prescribing_guidance
diagnosis and investigation,tilmanocept,1,10.00,85,1,0,0,1.000,patient_reported_not_prescribing_guidance
diagnostic bronchograms,acetylcysteine,1,9.00,5,1,0,0,1.000,patient_reported_not_prescribing_guidance
diaper rash,miconazole zinc oxide,3,10.00,15,3,0,0,1.000,patient_reported_not_prescribing_guidance
diaper rash,vusion,3,10.00,15,3,0,0,1.000,patient_reported_not_prescribing_guidance
diaper rash,calmoseptine,3,8.00,40,2,0,1,0.667,patient_reported_not_prescribing_guidance
diaper rash,menthol zinc oxide,3,8.00,40,2,0,1,0.667,patient_reported_not_prescribing_guidance
diaper rash,zinc oxide,2,10.00,10,2,0,0,1.000,patient_reported_not_prescribing_guidance
diaper rash,boudreaux butt paste,1,10.00,5,1,0,0,1.000,patient_reported_not_prescribing_guidance
diarrhea,atropine diphenoxylate,30,8.23,1161,24,2,4,0.800,patient_reported_not_prescribing_guidance
diarrhea,lomotil,19,8.05,1045,15,1,3,0.789,patient_reported_not_prescribing_guidance
diarrhea,opium,14,9.64,265,14,0,0,1.000,patient_reported_not_prescribing_guidance
diarrhea,loperamide,12,8.33,208,10,0,2,0.833,patient_reported_not_prescribing_guidance
diarrhea,paregoric,5,10.00,170,5,0,0,1.000,patient_reported_not_prescribing_guidance
diarrhea,imodium a-d,4,7.75,72,3,0,1,0.750,patient_reported_not_prescribing_guidance
diarrhea,rifaximin,3,9.67,149,3,0,0,1.000,patient_reported_not_prescribing_guidance
diarrhea,xifaxan,3,9.67,149,3,0,0,1.000,patient_reported_not_prescribing_guidance
diarrhea,codeine,3,9.33,51,3,0,0,1.000,patient_reported_not_prescribing_guidance
diarrhea,florastor,3,8.33,211,2,1,0,0.667,patient_reported_not_prescribing_guidance
diarrhea,saccharomyces boulardii lyo,3,8.33,211,2,1,0,0.667,patient_reported_not_prescribing_guidance
diarrhea,lonox,2,10.00,68,2,0,0,1.000,patient_reported_not_prescribing_guidance
diarrhea,bismuth subsalicylate,2,9.50,14,2,0,0,1.000,patient_reported_not_prescribing_guidance
diarrhea,imodium,2,5.50,48,1,0,1,0.500,patient_reported_not_prescribing_guidance
diarrhea,attapulgite,1,10.00,8,1,0,0,1.000,patient_reported_not_prescribing_guidance
diarrhea,opium deodorized,1,10.00,4,1,0,0,1.000,patient_reported_not_prescribing_guidance
diarrhea,alosetron,1,9.00,27,1,0,0,1.000,patient_reported_not_prescribing_guidance
diarrhea,lotronex,1,9.00,27,1,0,0,1.000,patient_reported_not_prescribing_guidance
diarrhea,octreotide,1,9.00,7,1,0,0,1.000,patient_reported_not_prescribing_guidance
diarrhea,pepto-bismol,1,9.00,8,1,0,0,1.000,patient_reported_not_prescribing_guidance
diarrhea,sandostatin,1,9.00,7,1,0,0,1.000,patient_reported_not_prescribing_guidance
diarrhea,imotil,1,8.00,7,1,0,0,1.000,patient_reported_not_prescribing_guidance
diarrhea,lactobacillus acidophilus,1,1.00,8,0,0,1,0.000,patient_reported_not_prescribing_guidance
"diarrhea, acute",loperamide,4,9.50,44,4,0,0,1.000,patient_reported_not_prescribing_guidance
"diarrhea, acute",imodium,3,9.33,37,3,0,0,1.000,patient_reported_not_prescribing_guidance
"diarrhea, acute",atropine difenoxin,1,10.00,9,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diarrhea, acute",imodium a-d,1,10.00,7,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diarrhea, acute",motofen,1,10.00,9,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diarrhea, chronic",colesevelam,29,9.62,1563,28,1,0,0.966,patient_reported_not_prescribing_guidance
"diarrhea, chronic",welchol,14,9.79,1437,14,0,0,1.000,patient_reported_not_prescribing_guidance
"diarrhea, chronic",loperamide,6,9.83,176,6,0,0,1.000,patient_reported_not_prescribing_guidance
"diarrhea, chronic",imodium,3,9.67,155,3,0,0,1.000,patient_reported_not_prescribing_guidance
"diarrhea, chronic",atropine difenoxin,1,10.00,25,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diarrhea, chronic",imodium a-d,1,10.00,14,1,0,0,1.000,patient_reported_not_prescribing_guidance
"diarrhea, chronic",motofen,1,10.00,25,1,0,0,1.000,patient_reported_not_prescribing_guidance
dientamoeba fragilis,paromomycin,1,10.00,4,1,0,0,1.000,patient_reported_not_prescribing_guidance
dietary fiber supplementation,metamucil,3,7.00,153,2,0,1,0.667,patient_reported_not_prescribing_guidance
dietary fiber supplementation,psyllium,3,7.00,153,2,0,1,0.667,patient_reported_not_prescribing_guidance
dietary fiber supplementation,inulin,1,5.00,0,0,1,0,0.000,patient_reported_not_prescribing_guidance
dietary supplementation,multivitamin,35,6.86,1158,21,4,10,0.600,patient_reported_not_prescribing_guidance
dietary supplementation,biotin,9,5.67,201,4,1,4,0.444,patient_reported_not_prescribing_guidance
dietary supplementation,chondroitin glucosamine,5,7.00,53,3,1,1,0.600,patient_reported_not_prescribing_guidance
dietary supplementation,omega-3 polyunsaturated fatty acids,4,5.50,117,2,0,2,0.500,patient_reported_not_prescribing_guidance
dietary supplementation,glucose,2,10.00,3,2,0,0,1.000,patient_reported_not_prescribing_guidance
dietary supplementation,l-methylfolate calcium,2,10.00,1,2,0,0,1.000,patient_reported_not_prescribing_guidance
dietary supplementation,ubiquinone,2,10.00,32,2,0,0,1.000,patient_reported_not_prescribing_guidance
dietary supplementation,arginine,2,9.50,104,2,0,0,1.000,patient_reported_not_prescribing_guidance
dietary supplementation,bifidobacterium infantis lactobacillus acidophilus,2,8.00,23,1,1,0,0.500,patient_reported_not_prescribing_guidance
dietary supplementation,phillips colon health,2,8.00,23,1,1,0,0.500,patient_reported_not_prescribing_guidance
dietary supplementation,vitamin e,2,5.50,8,1,0,1,0.500,patient_reported_not_prescribing_guidance
